field_id,field_acres,field_centroid_x_utm,field_centroid_y_utm,field_centroid_longitude,field_centroid_latitude,distance_to_weather_point_m,crop_2023
451623001001160,4.233174233397975,359944.9760507492,3801725.278349628,-82.52276466345793,34.3473906851107,2198.680847167236,Grassland/Pasture
451623001001187,2.9410683003849662,359783.6882544125,3800966.695661678,-82.52439394854493,34.340530080047095,1512.4378535612345,Grassland/Pasture
451623001001196,17.514312061244784,359567.92098165164,3800869.561127471,-82.5267231069501,34.33962516814585,1292.2565406297479,Other Hay/Non Alfalfa
451623001001204,3.307537355816114,359711.92472012556,3800650.8278971044,-82.52512234019834,34.33767274906017,1253.9458233281975,Grassland/Pasture
451623001001218,6.187809269344218,358924.9794179807,3800439.1589689287,-82.53364007459523,34.33565766980283,571.2712428124522,Grassland/Pasture
451623001001219,4.545813303363282,359671.90523831185,3800422.917975607,-82.52552006304794,34.335612672276326,1099.8016010539766,Grassland/Pasture
451623001001224,4.447507684144567,359089.3682745198,3800381.4397612154,-82.53184408899524,34.335159687079454,609.5649492260316,Grassland/Pasture
451623001001231,4.003016126409183,358600.86709590006,3800263.8653161945,-82.5371335816137,34.33403319165259,360.85018827204686,Grassland/Pasture
451623001001238,2.6360029115600883,359197.28716268286,3800141.8592523173,-82.5306320279678,34.33301448999197,549.902202133656,Other Hay/Non Alfalfa
451623001001243,5.730075281942755,358707.26362272643,3800020.3969165254,-82.53593731008712,34.33185279217444,105.2177915553021,Grassland/Pasture
451623001001248,3.9490344851654404,359145.6918780424,3799852.6711608893,-82.531145354345,34.33040038969806,454.0922196932896,Grassland/Pasture
451623001001250,12.640829411592978,357564.10170600656,3799991.2819684255,-82.54835536587515,34.33143383770356,1134.420254231291,Other Hay/Non Alfalfa
451623001001251,4.437590129467583,358727.6555790511,3799828.303618882,-82.53568414489534,34.33012381568479,93.02842436609292,Grassland/Pasture
451623001001257,19.14119405324898,357898.4529672333,3799864.4094092636,-82.54470098300672,34.33033596000207,799.206743901436,Other Hay/Non Alfalfa
451623001001258,8.885457754892826,358510.0060189011,3799723.925637727,-82.53803215279613,34.32915314057885,267.2181820860721,Winter Wheat
451623001001259,3.6844874367322995,359294.2469044573,3799647.1319488892,-82.52949737218758,34.32856758838561,655.7930892606566,Grassland/Pasture
451623001001261,4.376599028571515,358695.2749420829,3799657.988287838,-82.53600803502206,34.32858397740425,257.7957661039032,Other Hay/Non Alfalfa
451623001001262,15.70476291622756,358481.6701702429,3799727.6896384284,-82.53834069236495,34.32918320523,285.1654330528634,Grassland/Pasture
451623001001264,5.923776287733908,358690.29985102435,3799500.1586540956,-82.53603616251078,34.32716043551797,415.6635406748728,Grassland/Pasture
451623001001266,14.144361343838874,358889.3546916042,3799433.0009797737,-82.53386210049102,34.32658211280147,520.0595034790153,Grassland/Pasture
451623001001267,4.753304821959788,359252.3698303558,3799423.994306703,-82.52991591976851,34.326550269358144,742.5603787662571,Grassland/Pasture
451623001001281,4.132697886258406,358361.6646067673,3798793.39060318,-82.539490904494,34.320743942756636,1171.1316970159571,Grassland/Pasture
451623001001285,4.641658947719539,358164.22317578766,3798789.628733535,-82.5416356247139,34.32068303781441,1245.3984607214884,Other Hay/Non Alfalfa
451623001001295,3.308253514560647,357396.75650888187,3798663.2373365103,-82.5499537097583,34.31943832939497,1804.694458033745,Grassland/Pasture
451623001001299,5.048982917619439,358211.5295887097,3798527.520347577,-82.54107840828699,34.31832655451639,1470.3711898789652,Grassland/Pasture
