field_id,area_weighted_aws025wta,dominant_mukey,dominant_musym,dominant_muname,dominant_mapunit_percent,mapunit_count,coverage_percent,CSBACRES,crop_2020,crop_2021,crop_2022,crop_2023,dominant_pct_2023,valid_pixels_2023,mean_dominant_pct,crop_transition_count,unique_dominant_crop_count,rotation_diversity_score,water_storage_score,slope_resilience_score,erosion_history_score,soil_sustainability_score,area_weighted_slope_midpoint_pct,eroded_mapunit_fraction_pct,relative_condition_class,field_short_id,water_storage_percentile,classification_confidence_gap,ndvi_mean,ndvi_date,priority_general_field_review,priority_irrigation_monitoring,priority_crop_scouting,priority_soil_conservation,priority_rotation_planning
451623001001160,2.0437086373285567,1154999,DuB,"Durham loamy sand, 2 to 6 percent slopes",97.0266233109845,2,100.0,4.233174233397975,Other Hay/Non Alfalfa,Other Hay/Non Alfalfa,Other Hay/Non Alfalfa,Grassland/Pasture,54.545455,22,59.09090925,1,2,40.56390622295664,4.0,64.0,100.0,52.14097655573916,4.118935067560697,0.0,Higher conservation priority,1160,4.0,40.90909075,,,47.859,77.372,54.012,32.337,55.963
451623001001187,3.5,1154985,ApB,"Appling sandy loam, 2 to 6 percent slopes",100.0,1,100.0,2.9410683003849662,Other Hay/Non Alfalfa,Grassland/Pasture,Grassland/Pasture,Grassland/Pasture,38.461538,13,57.69230775,1,2,40.56390622295664,98.0,90.0,100.0,82.14097655573916,4.0,0.0,Stronger relative condition,1187,98.0,42.30769225,,,17.859,6.372,26.912,11.037,46.963
451623001001196,3.4964647033779594,1154985,ApB,"Appling sandy loam, 2 to 6 percent slopes",88.21567792653082,2,99.99999999999892,17.514312061244784,Other Hay/Non Alfalfa,Other Hay/Non Alfalfa,Other Hay/Non Alfalfa,Other Hay/Non Alfalfa,57.142857,84,64.58333325000001,0,1,0.0,84.0,44.0,100.0,57.0,4.47137288293873,0.0,Moderate relative condition,1196,84.0,35.41666674999999,,,43.0,27.4,33.808,36.15,82.9
451623001001204,3.4979447570645004,1154985,ApB,"Appling sandy loam, 2 to 6 percent slopes",93.14919021501018,2,100.0,3.307537355816114,Other Hay/Non Alfalfa,Grassland/Pasture,Grassland/Pasture,Grassland/Pasture,73.333333,15,64.99999975,1,2,40.56390622295664,92.0,52.0,100.0,71.14097655573916,4.27403239139996,0.0,Stronger relative condition,1204,92.0,35.00000025,,,28.859,18.172,27.758,27.387,50.263
451623001001218,2.95,1154991,CcB,"Cecil sandy loam, 2 to 6 percent slopes",100.0,1,100.0,6.187809269344218,Other Hay/Non Alfalfa,Other Hay/Non Alfalfa,Other Hay/Non Alfalfa,Grassland/Pasture,51.851852,27,63.888889000000006,1,2,40.56390622295664,10.0,90.0,100.0,60.14097655573916,4.0,0.0,Moderate relative condition,1218,10.0,36.111110999999994,,,39.859,67.972,48.013,20.937,53.563
451623001001219,2.9532123611189816,1154991,CcB,"Cecil sandy loam, 2 to 6 percent slopes",99.39336239179032,3,99.99999999999412,4.545813303363282,Other Hay/Non Alfalfa,Grassland/Pasture,Grassland/Pasture,Grassland/Pasture,95.0,20,95.0,1,2,40.56390622295664,20.0,76.0,100.0,59.14097655573916,4.016552763485292,0.0,Moderate relative condition,1219,20.0,5.0,,,40.859,63.772,30.758,25.587,53.863
451623001001224,2.95,1154991,CcB,"Cecil sandy loam, 2 to 6 percent slopes",99.99999999999996,1,99.99999999999996,4.447507684144567,Other Hay/Non Alfalfa,Grassland/Pasture,Grassland/Pasture,Grassland/Pasture,75.0,20,68.75,1,2,40.56390622295664,10.0,90.0,100.0,60.14097655573916,4.0,0.0,Moderate relative condition,1224,10.0,31.25,,,39.859,67.972,45.583,20.937,53.563
451623001001231,2.984504756355156,1154992,CcC,"Cecil sandy loam, 6 to 10 percent slopes",86.26189088787733,2,99.99999999998764,4.003016126409183,Other Hay/Non Alfalfa,Grassland/Pasture,Grassland/Pasture,Grassland/Pasture,64.705882,17,67.6470585,1,2,40.56390622295664,44.0,8.0,100.0,48.14097655573916,7.45047563551552,0.0,Higher conservation priority,1231,44.0,32.3529415,,,51.859,60.572,42.934,50.937,57.163
451623001001238,3.007998398816289,1155004,HeB,"Helena sandy loam, 2 to 6 percent slopes",57.99839881627883,2,99.9999999999812,2.6360029115600883,Other Hay/Non Alfalfa,Other Hay/Non Alfalfa,Grassland/Pasture,Other Hay/Non Alfalfa,63.636364,11,68.1818185,2,2,40.56390622295664,48.0,90.0,100.0,69.64097655573916,4.0,0.0,Stronger relative condition,1238,48.0,31.818181499999994,,,30.359,41.372,35.417,16.662,50.713
451623001001243,3.413451851441385,1154985,ApB,"Appling sandy loam, 2 to 6 percent slopes",70.69902704972536,4,100.0,5.730075281942755,Other Hay/Non Alfalfa,Grassland/Pasture,Grassland/Pasture,Grassland/Pasture,85.185185,27,75.0,1,2,40.56390622295664,76.0,24.0,82.0075270358681,55.64285831470618,5.7930912830963175,17.99247296413191,Moderate relative condition,1243,76.0,25.0,,,44.357,35.871,30.607,47.259,54.912
