column,missing_count,missing_pct,unique_count
field_id,0,0.0,25
CSBID,0,0.0,25
STATEFIPS,0,0.0,1
CSBACRES,0,0.0,25
county,0,0.0,1
source_attribute,25,100.0,1
CDL2020,0,0.0,3
CDL2021,0,0.0,2
CDL2022,0,0.0,2
CDL2023,0,0.0,3
crop_code_2020,0,0.0,3
crop_2020,0,0.0,3
dominant_pct_2020,0,0.0,21
valid_pixels_2020,0,0.0,17
matches_csb_2020,0,0.0,2
crop_code_2021,0,0.0,2
crop_2021,0,0.0,2
dominant_pct_2021,0,0.0,24
valid_pixels_2021,0,0.0,17
matches_csb_2021,0,0.0,1
crop_code_2022,0,0.0,2
crop_2022,0,0.0,2
dominant_pct_2022,0,0.0,23
valid_pixels_2022,0,0.0,17
matches_csb_2022,0,0.0,2
crop_code_2023,0,0.0,3
crop_2023,0,0.0,3
dominant_pct_2023,0,0.0,24
valid_pixels_2023,0,0.0,17
matches_csb_2023,0,0.0,2
